condition,spectral_radius,eigen_gap_adj,lambda1_adj_signed,fiedler_mu2
healthy,0.9999999999990006,0.08336894240861104,0.9999999999990006,0.08220555297738132
perturbed,0.9999999999989887,0.08249052710819393,0.9999999999989887,0.08132831302014007
Principal eigenvector projection_distance_v1,0.008676201471843748,nan,nan,nan
